model,model_path,status,error,accuracy,f1_bonafide_positive,f1_spoof_positive,eer,eer_percent,eer_threshold_bonafide_score,n_total,n_bonafide,n_spoof,tp_bonafide,tn_spoof,fp_bonafide_positive,fn_bonafide_positive,fp_spoof_positive_legacy,fn_spoof_positive_legacy,bonafide_id,spoof_id,completed_samples,total_samples,resumed,score_path,forced_binary_head
matty_ast_original,D:\capstone\EER\models\Matty-AST,ok,,0.08734225191964849,0.15539706665627395,0.007359115684687848,0.9371967064274757,93.71967064274756,0.9989249837174226,71237,63882,7355,5981,241,7114,57901,57901,7114,0,1,71237,71237,True,D:\capstone\EER\results\scores\matty_ast_original_scores.csv,False
hubert_base_srn,D:\capstone\EER\models\HUBERT-BASE-SRN,ok,,0.9727669609893735,0.9845977960557655,0.8825523671146628,0.016890516890516905,1.6890516890516905,0.011229926302170894,71237,63882,7355,62008,7289,66,1874,1874,66,1,0,71237,71237,True,D:\capstone\EER\results\scores\hubert_base_srn_scores.csv,False
matty_ast_srn,D:\capstone\EER\models\Matty-AST-SRN,ok,,0.8988868144363182,0.9406647720252069,0.6582854974144884,0.08374816067123758,8.374816067123758,0.06436488016292667,71237,63882,7355,57096,6938,417,6786,6786,417,1,0,71237,71237,True,D:\capstone\EER\results\scores\matty_ast_srn_scores.csv,False
mit_ast_srn,D:\capstone\EER\models\MIT-AST-SRN,ok,ValueError('Unrecognized model in D:\\capstone\\EER\\models\\MIT-AST-SRN. Should have a `model_type` key in its config.json.'),0.9224139141176636,0.9549224784073207,0.7217439460303076,0.055305093766632174,5.530509376663217,0.09508607482076303,71237,63882,7355,58542,7168,187,5340,5340,187,1,0,71237,71237,True,D:\capstone\EER\results\scores\mit_ast_srn_scores.csv,False
wav2vec_base_srn,D:\capstone\EER\models\Wav2VecBase-SRN,ok,,0.8967530917921867,0.9455665006401764,0.0,0.48877502591800254,48.87750259180025,0.9205190859827558,71237,63882,7355,63882,0,7355,0,0,7355,1,0,71237,71237,True,D:\capstone\EER\results\scores\wav2vec_base_srn_scores.csv,False
wav2vec_large_srn,D:\capstone\EER\models\Wav2VecLargeSRN,ok,,0.8967530917921867,0.9455665006401764,0.0,0.47411849660143013,47.41184966014301,0.9314615541960254,71237,63882,7355,63882,0,7355,0,0,7355,1,0,71237,71237,True,D:\capstone\EER\results\scores\wav2vec_large_srn_scores.csv,False
wav2vec_base_original,D:\capstone\EER\models\Wav2VecBase,ok,,0.8966267529514157,0.9454841575362748,0.004057343792263998,0.3457511896668933,34.57511896668933,0.5346986733221991,71237,63882,7355,63858,15,7340,24,24,7340,1,0,71237,71237,True,D:\capstone\EER\results\scores\wav2vec_base_original_scores.csv,True
wav2vec_large_original,D:\capstone\EER\models\Wav2VecLarge,ok,,0.8967530917921867,0.9455665006401764,0.0,0.40331569268778866,40.331569268778864,0.6219799192143157,71237,63882,7355,63882,0,7355,0,0,7355,1,0,71237,71237,True,D:\capstone\EER\results\scores\wav2vec_large_original_scores.csv,True
hubert_base_ls960_original,D:\capstone\EER\models\hubert-base-ls960,ok,,0.2796159299240563,0.3470826229675055,0.19659966184482436,0.524122601045678,52.4122601045678,0.49119959499977717,71237,63882,7355,13640,6279,1076,50242,50242,1076,1,0,71237,71237,True,D:\capstone\EER\results\scores\hubert_base_ls960_original_scores.csv,True
mit_ast_original,D:\capstone\EER\models\MIT-AST,ok,,0.5834187290312618,0.7307468970022502,0.08004216008432016,0.642556084296397,64.2556084296397,0.5629385621785955,71237,63882,7355,40270,1291,6064,23612,23612,6064,1,0,71237,71237,True,D:\capstone\EER\results\scores\mit_ast_original_scores.csv,True
